PAT,pat,RED,red,IR,ir,TEMP,temp,env,real_imp,img_imp,REAL_IMP,IMG_IMP
,32227,,22523,,32608,,3477.0,2781.0,,,62074.0,5580.0
,32220,,22516,,32635,,3477.0,2783.0,,,62086.0,5558.0
,32222,,22532,,32645,,3475.0,2783.0,,,62086.0,65462.0
,32222,,22461,,32405,,3476.0,2783.0,,,65280.0,255.0
,32221,,22533,,32657,,3476.0,2781.0,,,65535.0,65462.0
,32215,,22536,,32669,,3477.0,2784.0,,,65535.0,65414.0
,32219,,22536,,32688,,3476.0,2781.0,,,62086.0,65462.0
,32215,,22535,,32701,,3476.0,2781.0,,,62086.0,5558.0
,32217,,22541,,32715,,3477.0,2781.0,,,65535.0,5631.0
,32217,,22478,,32482,,3476.0,2783.0,,,255.0,65535.0
,32202,,22542,,32731,,3476.0,2781.0,,,65535.0,65304.0
,32200,,22540,,32735,,3476.0,2783.0,,,65414.0,65301.0
,32196,,22555,,32761,,3477.0,2780.0,,,65535.0,65535.0
,32193,,22566,,32762,,3477.0,2784.0,,,65535.0,512.0
,32191,,22563,,-32752,,3476.0,2784.0,,,255.0,65535.0
,32191,,22503,,32576,,3473.0,2781.0,,,65535.0,65535.0
,32192,,22570,,-32743,,3477.0,2783.0,,,65414.0,65535.0
,32183,,22566,,-32720,,3475.0,2781.0,,,65535.0,65535.0
,32186,,22579,,-32708,,3476.0,2783.0,,,62086.0,65535.0
,32174,,22523,,32608,,3476.0,2784.0,,,65414.0,5558.0
,32177,,22578,,-32698,,3476.0,2784.0,,,65522.0,34325.0
,32177,,22578,,-32675,,3475.0,2781.0,,,65522.0,48252.0
,32165,,22532,,32645,,3479.0,2780.0,,,65522.0,65535.0
,32179,,22582,,-32667,,3476.0,2780.0,,,65284.0,65535.0
,32193,,22583,,-32666,,3476.0,2779.0,,,8448.0,65535.0
,32203,,22575,,-32688,,3475.0,2783.0,,,1279.0,48252.0
,32230,,22557,,-32706,,3475.0,2783.0,,,65522.0,48252.0
,32230,,22551,,-32743,,3475.0,2780.0,,,65522.0,65404.0
,32255,,22541,,32715,,3477.0,2783.0,,,255.0,65535.0
,32278,,22522,,32738,,3473.0,2780.0,,,65535.0,65535.0
,32302,,22503,,32680,,3477.0,2780.0,,,1266.0,48252.0
,32318,,22473,,32609,,3476.0,2780.0,,,485.0,48427.0
,32332,,22451,,32532,,3476.0,2783.0,,,491.0,48526.0
,32332,,22425,,32455,,3476.0,2783.0,,,528.0,48106.0
,32338,,22563,,-32752,,3476.0,2781.0,,,500.0,48108.0
,32352,,22412,,32409,,3476.0,2781.0,,,561.0,48084.0
,32359,,22396,,32330,,3476.0,2781.0,,,505.0,48098.0
,32351,,22373,,32277,,3475.0,2780.0,,,592.0,48138.0
,32356,,22355,,32221,,3476.0,2781.0,,,580.0,48153.0
,32356,,22352,,32184,,3473.0,2783.0,,,567.0,48361.0
,32357,,22578,,-32675,,3477.0,2783.0,,,561.0,48373.0
,32349,,22348,,32158,,3476.0,2781.0,,,537.0,48215.0
,32362,,22339,,32135,,3476.0,2780.0,,,538.0,48277.0
,32355,,22328,,32130,,3475.0,2781.0,,,497.0,48417.0
,32353,,22333,,32117,,3476.0,2781.0,,,530.0,48444.0
,32353,,22328,,32104,,3477.0,2783.0,,,567.0,48183.0
