PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
10349.0,32440.0,2891.0,20680.0,2883.0,10528,5352.0,2910.0,400,65373.0,210.0,3015.0,47719.0
10359.0,32424.0,2891.0,20664.0,2882.0,10528,5344.0,2910.0,392,65377.0,202.0,2999.0,47705.0
10359.0,32400.0,2890.0,20672.0,2883.0,10528,5368.0,2910.0,400,65372.0,211.0,2999.0,47697.0
10340.0,32384.0,2888.0,20664.0,2882.0,10560,5352.0,2911.0,400,65377.0,202.0,2975.0,47671.0
10408.0,32416.0,2890.0,20648.0,2882.0,10576,5336.0,2911.0,392,65373.0,210.0,2975.0,47654.0
10402.0,32400.0,2890.0,20624.0,2882.0,10576,5352.0,2911.0,392,65377.0,202.0,2974.0,47665.0
10405.0,32416.0,2890.0,20640.0,2883.0,10624,5368.0,2911.0,400,65373.0,211.0,2974.0,47665.0
10409.0,32392.0,2890.0,20640.0,2883.0,10624,5352.0,2911.0,416,65377.0,203.0,2948.0,47643.0
10406.0,32408.0,2887.0,20680.0,2882.0,10624,5344.0,2909.0,392,65373.0,211.0,2957.0,47628.0
10405.0,32416.0,2892.0,20672.0,2882.0,10624,5328.0,2913.0,384,65376.0,203.0,2944.0,47617.0
10395.0,32448.0,2892.0,20672.0,2883.0,10640,5368.0,2913.0,408,65373.0,212.0,2952.0,47614.0
10402.0,32456.0,2890.0,20664.0,2885.0,10608,5360.0,2909.0,400,65377.0,203.0,2938.0,47600.0
10402.0,32456.0,2891.0,20696.0,2880.0,10624,5352.0,2911.0,400,65373.0,210.0,2929.0,47587.0
10403.0,32496.0,2891.0,20656.0,2885.0,10624,5344.0,2913.0,400,65377.0,202.0,2919.0,47575.0
10405.0,32560.0,2891.0,20688.0,2882.0,10624,5368.0,2910.0,392,65373.0,211.0,2922.0,47567.0
10406.0,32528.0,2888.0,20712.0,2883.0,10624,5360.0,2913.0,416,65377.0,202.0,2908.0,47557.0
10401.0,32576.0,2891.0,20688.0,2883.0,10640,5360.0,2910.0,384,65374.0,210.0,2901.0,47547.0
10403.0,32568.0,2890.0,20704.0,2885.0,10640,5352.0,2910.0,400,65376.0,204.0,2903.0,47545.0
10364.0,32624.0,2892.0,20696.0,2882.0,10640,5360.0,2911.0,400,65373.0,211.0,2906.0,47551.0
10359.0,32624.0,2891.0,20720.0,2883.0,10592,5368.0,2913.0,384,65376.0,204.0,2890.0,47539.0
10357.0,32640.0,2892.0,20720.0,2882.0,10544,5344.0,2911.0,376,65373.0,210.0,2887.0,47531.0
10360.0,32672.0,2890.0,20752.0,2883.0,10528,5352.0,2913.0,376,65376.0,203.0,2888.0,47536.0
10371.0,32680.0,2892.0,20728.0,2880.0,10544,5344.0,2911.0,384,65372.0,212.0,2884.0,47528.0
10376.0,32688.0,2892.0,20752.0,2882.0,10544,5360.0,2911.0,384,65377.0,202.0,2880.0,47529.0
10357.0,32728.0,2891.0,20728.0,2885.0,10576,5384.0,2910.0,400,65373.0,210.0,2885.0,47525.0
10405.0,32712.0,2891.0,20768.0,2882.0,10624,5360.0,2911.0,392,65377.0,202.0,2886.0,47536.0
10427.0,32712.0,2891.0,20744.0,2883.0,10608,5368.0,2913.0,400,65373.0,211.0,2891.0,47533.0
10421.0,32768.0,2891.0,20744.0,2885.0,10624,5344.0,2911.0,392,65377.0,202.0,2860.0,47500.0
10427.0,32760.0,2891.0,20728.0,2882.0,10624,5360.0,2913.0,392,65373.0,210.0,2853.0,47475.0
10419.0,32744.0,2890.0,20760.0,2883.0,10624,5360.0,2911.0,408,65377.0,202.0,2827.0,47462.0
10425.0,32768.0,2892.0,20792.0,2883.0,10624,5352.0,2911.0,384,65373.0,211.0,2839.0,47464.0
10390.0,32728.0,2890.0,20760.0,2882.0,10544,5344.0,2911.0,400,65377.0,202.0,2817.0,47448.0
10420.0,32744.0,2890.0,20792.0,2882.0,10608,5376.0,2911.0,384,65373.0,210.0,2819.0,47444.0
10421.0,32712.0,2891.0,20800.0,2882.0,10608,5352.0,2911.0,408,65377.0,202.0,2811.0,47437.0
10422.0,32712.0,2892.0,20792.0,2883.0,10608,5368.0,2911.0,400,65373.0,210.0,2816.0,47442.0
10424.0,32712.0,2892.0,20776.0,2883.0,10608,5344.0,2913.0,408,65376.0,203.0,2801.0,47429.0
10421.0,32696.0,2890.0,20776.0,2886.0,10608,5384.0,2911.0,416,65374.0,210.0,2800.0,47425.0
10423.0,32672.0,2891.0,20792.0,2883.0,10608,5344.0,2913.0,416,65377.0,202.0,2797.0,47419.0
10398.0,32704.0,2891.0,20768.0,2883.0,10608,5344.0,2911.0,384,65373.0,210.0,2795.0,47417.0
10363.0,32688.0,2891.0,20792.0,2883.0,10544,5368.0,2913.0,392,65377.0,203.0,2791.0,47423.0
10360.0,32632.0,2891.0,20784.0,2883.0,10480,5368.0,2913.0,408,65372.0,211.0,2795.0,47422.0
10362.0,32640.0,2891.0,20768.0,2885.0,10464,5352.0,2913.0,376,65377.0,202.0,2798.0,47429.0
10360.0,32616.0,2891.0,20816.0,2882.0,10464,5336.0,2911.0,416,65372.0,212.0,2815.0,47447.0
