,PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
21,,20536.0,3386.0,28336,2849.0,16015.0,25568.0,3424.0,27072.0,2127.0,61398.0,65206.0,62224.0
22,,20504.0,3385.0,28352,2849.0,15919.0,25520.0,3425.0,27112.0,2209.0,61132.0,65003.0,61967.0
23,,20504.0,3385.0,28336,2846.0,16015.0,25544.0,3424.0,27088.0,2153.0,61424.0,65279.0,62162.0
24,,20520.0,3386.0,28344,2845.0,16009.0,25536.0,3422.0,27080.0,1983.0,60849.0,65485.0,62306.0
25,,20504.0,3386.0,28352,2846.0,16013.0,25528.0,3424.0,27096.0,2147.0,61518.0,65276.0,62150.0
26,,20512.0,3386.0,28352,2849.0,16013.0,25544.0,3424.0,27088.0,2054.0,61503.0,65476.0,62386.0
27,,20496.0,3388.0,28360,2848.0,16004.0,25592.0,3425.0,27072.0,1659.0,61188.0,65277.0,62197.0
28,,20568.0,3384.0,28336,2849.0,16006.0,25640.0,3424.0,27032.0,2165.0,61305.0,65329.0,62468.0
29,,20536.0,3385.0,28336,2848.0,16007.0,25688.0,3424.0,27040.0,1882.0,61559.0,65215.0,62055.0
30,,20584.0,3386.0,28328,2848.0,16020.0,25760.0,3424.0,27032.0,1749.0,61507.0,65206.0,61899.0
31,,20592.0,3388.0,28312,2845.0,16019.0,25768.0,3424.0,27008.0,1637.0,61169.0,65290.0,62139.0
32,,20648.0,3388.0,28296,2849.0,16012.0,25832.0,3424.0,26960.0,2306.0,60905.0,65501.0,62056.0
33,,20648.0,3385.0,28320,2846.0,16007.0,25872.0,3422.0,26968.0,1869.0,61464.0,65162.0,62175.0
34,,20648.0,3386.0,28312,2848.0,16005.0,25928.0,3424.0,26960.0,2187.0,60868.0,65024.0,61994.0
35,,20664.0,3384.0,28312,2848.0,16007.0,25936.0,3424.0,26960.0,2168.0,61409.0,65268.0,62129.0
36,,20696.0,3386.0,28296,2848.0,16007.0,25936.0,3424.0,26944.0,2133.0,61020.0,65450.0,61966.0
37,,20704.0,3385.0,28272,2848.0,16001.0,25968.0,3422.0,26928.0,1730.0,61136.0,65314.0,62162.0
38,,20720.0,3386.0,28256,2846.0,16001.0,26000.0,3424.0,26936.0,1741.0,60860.0,65495.0,62312.0
39,,20712.0,3382.0,28272,2845.0,16008.0,26544.0,3422.0,26944.0,2128.0,61024.0,65179.0,62121.0
40,,20664.0,3385.0,28320,2849.0,15951.0,26544.0,3424.0,26720.0,1669.0,61721.0,65129.0,61888.0
