pat,red,ir,real_imp,img_imp,temp,env
24387,22459.0,32189.0,6459.0,61409.0,3551.0,3200.0
24393,22456.0,32164.0,6454.0,61415.0,3548.0,3197.0
24437,22467.0,32155.0,6465.0,61424.0,3550.0,3197.0
24437,22473.0,32130.0,6463.0,61419.0,3550.0,3197.0
24369,22479.0,32130.0,6458.0,61423.0,3550.0,3199.0
24347,22469.0,32172.0,6450.0,61423.0,3548.0,3199.0
24369,22452.0,32220.0,6454.0,61413.0,3548.0,3199.0
24369,22432.0,32289.0,6452.0,61417.0,3547.0,3199.0
24409,22400.0,32354.0,6456.0,61417.0,3548.0,3197.0
24395,22380.0,32426.0,6451.0,61406.0,3550.0,3197.0
24387,22355.0,32501.0,6446.0,61418.0,3550.0,3197.0
24387,22346.0,32632.0,6462.0,61417.0,3548.0,3197.0
24374,22295.0,32697.0,6464.0,61420.0,3550.0,3199.0
24366,22280.0,32762.0,6463.0,61423.0,3550.0,3197.0
24359,22262.0,32727.0,6457.0,61413.0,3550.0,3197.0
24359,22247.0,32704.0,6451.0,61423.0,3550.0,3197.0
24327,22250.0,32685.0,6446.0,61416.0,3550.0,3196.0
24320,22232.0,32656.0,6456.0,61414.0,3548.0,3197.0
24307,22243.0,32655.0,6449.0,61408.0,3550.0,3197.0
24307,22235.0,32657.0,6459.0,61411.0,3550.0,3197.0
24310,22240.0,32668.0,6452.0,61418.0,3550.0,3197.0
24317,22234.0,32671.0,6449.0,61416.0,3548.0,3199.0
24301,22239.0,32690.0,6462.0,61429.0,3550.0,3196.0
24301,22257.0,32710.0,6470.0,61416.0,3547.0,3196.0
24343,22265.0,32747.0,6463.0,61416.0,3547.0,3197.0
24366,22267.0,32766.0,6443.0,61413.0,3548.0,3197.0
24365,22281.0,32749.0,6451.0,61410.0,3548.0,3200.0
24365,22278.0,32691.0,6453.0,61412.0,3548.0,3197.0
24362,22300.0,32678.0,6443.0,61420.0,3550.0,3197.0
24354,22308.0,32667.0,6458.0,61410.0,3550.0,3197.0
24339,22307.0,32644.0,6463.0,61413.0,3551.0,3197.0
24339,22322.0,32634.0,6448.0,61414.0,3547.0,3196.0
24341,22314.0,32623.0,6456.0,61414.0,3550.0,3199.0
24296,22328.0,32619.0,6462.0,61415.0,3551.0,3194.0
24316,22316.0,32623.0,6453.0,61407.0,3550.0,3197.0
24316,22315.0,32633.0,6449.0,61414.0,3551.0,3197.0
24290,22327.0,32616.0,6460.0,61413.0,3550.0,3199.0
24226,22320.0,32620.0,6448.0,61421.0,3548.0,3196.0
24300,22326.0,32602.0,6457.0,61405.0,3548.0,3197.0
24300,22321.0,32589.0,6451.0,61412.0,3550.0,3197.0
24272,22323.0,32577.0,6459.0,61428.0,3550.0,3199.0
24259,22323.0,32585.0,6461.0,61409.0,3550.0,3196.0
24310,22340.0,32564.0,6458.0,61418.0,3550.0,3197.0
24310,22338.0,32552.0,6449.0,61426.0,3548.0,3197.0
24310,22338.0,32550.0,6464.0,61413.0,3548.0,3196.0
24303,22345.0,32544.0,6459.0,61406.0,3548.0,3196.0
24303,22357.0,32521.0,6448.0,61424.0,3551.0,3197.0
24303,22362.0,32488.0,6454.0,61416.0,3548.0,3199.0
24305,22365.0,32479.0,6462.0,61411.0,3548.0,3199.0
24325,22371.0,32452.0,6455.0,61415.0,3548.0,3196.0
24296,22372.0,32437.0,6462.0,61416.0,3551.0,3199.0
24296,22381.0,32418.0,6457.0,61411.0,3550.0,3197.0
24357,22387.0,32402.0,6440.0,61428.0,3550.0,3197.0
24372,22396.0,32393.0,6457.0,61417.0,3550.0,3196.0
