PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
14671,8072,3034.0,648,,,,,,,,63680.0,63126.0
14676,8056,3032.0,648,,,,,,,,63679.0,63127.0
14637,8072,3032.0,656,,,,,,,,63679.0,63126.0
14646,8080,3034.0,648,,,,,,,,63679.0,63126.0
14633,8072,3034.0,640,,,,,,,,63678.0,63126.0
14605,8072,3032.0,648,,,,,,,,63678.0,63126.0
14625,8064,3032.0,656,,,,,,,,63677.0,63125.0
14620,8056,3032.0,648,,,,,,,,63678.0,63126.0
14615,8064,3034.0,656,,,,,,,,63678.0,63125.0
14622,8064,3034.0,648,,,,,,,,63678.0,63127.0
14605,8064,3032.0,632,,,,,,,,63678.0,63126.0
14660,8048,3031.0,656,,,,,,,,63677.0,63126.0
14635,8080,3029.0,640,,,,,,,,63677.0,63125.0
14661,8064,3032.0,640,,,,,,,,63677.0,63127.0
14667,8056,3034.0,632,,,,,,,,63678.0,63126.0
14660,8040,3034.0,648,,,,,,,,63679.0,63128.0
14657,8056,3034.0,656,,,,,,,,63679.0,63126.0
14660,8048,3031.0,648,,,,,,,,63677.0,63127.0
14660,8048,3035.0,664,,,,,,,,63678.0,63126.0
14665,8064,3032.0,648,,,,,,,,63681.0,63129.0
14687,8056,3034.0,648,,,,,,,,63681.0,63128.0
14683,8064,3035.0,648,,,,,,,,63678.0,63127.0
14677,8064,3035.0,640,,,,,,,,63679.0,63127.0
14642,8056,3035.0,664,,,,,,,,63681.0,63129.0
14661,8072,3034.0,648,,,,,,,,63682.0,63128.0
14617,8056,3034.0,632,,,,,,,,63679.0,63127.0
14639,8056,3032.0,664,,,,,,,,63678.0,63125.0
14640,8080,3032.0,640,,,,,,,,63679.0,63127.0
14634,8056,3032.0,624,,,,,,,,63681.0,63127.0
14634,8072,3034.0,640,,,,,,,,63682.0,63129.0
14621,8064,3032.0,632,,,,,,,,63681.0,63127.0
14697,8088,3032.0,640,,,,,,,,63679.0,63126.0
14689,8048,3034.0,648,,,,,,,,63680.0,63125.0
14668,8072,3034.0,640,,,,,,,,63679.0,63126.0
14696,8072,3034.0,648,,,,,,,,63679.0,63125.0
14698,8072,3031.0,648,,,,,,,,63678.0,63126.0
14703,8072,3035.0,656,,,,,,,,63678.0,63124.0
14686,8080,3034.0,648,,,,,,,,63676.0,63126.0
14689,8072,3032.0,624,,,,,,,,63677.0,63124.0
14689,8064,3034.0,648,,,,,,,,63677.0,63125.0
14694,8048,3035.0,656,,,,,,,,63678.0,63126.0
14688,8088,3034.0,640,,,,,,,,63678.0,63126.0
14688,8064,3035.0,616,,,,,,,,63678.0,63125.0
14630,8048,3034.0,640,,,,,,,,63678.0,63126.0
14649,8072,3034.0,632,,,,,,,,63677.0,63126.0
14622,8056,3034.0,664,,,,,,,,63677.0,63125.0
14632,8048,3034.0,648,,,,,,,,63676.0,63125.0
14635,8064,3032.0,624,,,,,,,,63676.0,63126.0
14632,8048,3032.0,656,,,,,,,,63677.0,63125.0
14628,8064,3035.0,624,,,,,,,,63677.0,63127.0
14611,8080,3032.0,656,,,,,,,,63679.0,63126.0
14675,8072,3035.0,648,,,,,,,,63677.0,63126.0
14679,8056,3034.0,648,,,,,,,,63678.0,63125.0
14659,8088,3034.0,632,,,,,,,,63677.0,63127.0
14679,8048,3037.0,640,,,,,,,,63678.0,63126.0
14684,8064,3032.0,632,,,,,,,,63678.0,63127.0
14690,8064,3035.0,664,,,,,,,,63678.0,63126.0
14693,8064,3034.0,656,,,,,,,,63678.0,63128.0
14697,8064,3032.0,624,,,,,,,,63677.0,63126.0
14694,8080,3034.0,640,,,,,,,,63676.0,63126.0
14692,8064,3034.0,640,,,,,,,,63677.0,63125.0
14689,8072,3034.0,656,,,,,,,,63677.0,63127.0
14685,8064,3032.0,640,,,,,,,,63677.0,63126.0
14666,8088,3035.0,632,,,,,,,,63678.0,63128.0
14676,8048,3034.0,664,,,,,,,,63678.0,63126.0
14630,8072,3035.0,624,,,,,,,,63678.0,63128.0
14644,8072,3032.0,632,,,,,,,,63679.0,63127.0
14647,8080,3032.0,648,,,,,,,,63677.0,63127.0
14636,8080,3032.0,648,,,,,,,,63676.0,63125.0
14648,8056,3032.0,648,,,,,,,,63676.0,63127.0
14632,8056,3031.0,648,,,,,,,,63678.0,63127.0
14698,8088,3035.0,656,,,,,,,,63678.0,63129.0
14683,8072,3032.0,640,,,,,,,,63678.0,63128.0
14688,8072,3034.0,640,,,,,,,,63677.0,63127.0
14668,8056,3035.0,632,,,,,,,,63677.0,63126.0
14687,8056,3035.0,640,,,,,,,,63678.0,63129.0
14697,8088,3035.0,648,,,,,,,,63678.0,63127.0
14686,8072,3037.0,648,,,,,,,,63678.0,63129.0
14681,8072,3034.0,648,,,,,,,,63678.0,63126.0
14681,8056,3032.0,648,,,,,,,,63679.0,63129.0
14688,8056,3035.0,648,,,,,,,,63679.0,63127.0
14687,8088,3034.0,664,,,,,,,,63678.0,63128.0
14686,8064,3034.0,640,,,,,,,,63678.0,63127.0
14663,8064,3034.0,640,,,,,,,,63679.0,63129.0
14664,8056,3035.0,632,,,,,,,,63679.0,63127.0
