PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
14473.0,18880,2897.0,31728,,,,,,,,64697.0,47504.0
14484.0,18840,2895.0,31760,,,,,,,,64700.0,47505.0
14481.0,18800,2894.0,31720,,,,,,,,64701.0,47503.0
14483.0,18784,2895.0,31752,,,,,,,,64701.0,47504.0
14485.0,18760,2894.0,31704,,,,,,,,64698.0,47503.0
14486.0,18744,2895.0,31720,,,,,,,,64700.0,47504.0
14477.0,18720,2895.0,31704,,,,,,,,64699.0,47505.0
14482.0,18728,2895.0,31704,,,,,,,,64700.0,47504.0
14485.0,18696,2894.0,31688,,,,,,,,64696.0,47504.0
14477.0,18688,2895.0,31704,,,,,,,,64703.0,47501.0
14498.0,18712,2895.0,31680,,,,,,,,64698.0,47504.0
14513.0,18720,2892.0,31704,,,,,,,,64700.0,47504.0
14517.0,18680,2894.0,31704,,,,,,,,64699.0,47501.0
14520.0,18648,2895.0,31696,,,,,,,,64700.0,47502.0
14515.0,18632,2895.0,31712,,,,,,,,64697.0,47502.0
14518.0,18600,2895.0,31696,,,,,,,,64701.0,47502.0
14522.0,18600,2897.0,31656,,,,,,,,64700.0,47503.0
14509.0,18560,2897.0,31656,,,,,,,,64700.0,47503.0
14509.0,18592,2897.0,31632,,,,,,,,64700.0,47503.0
14514.0,18544,2894.0,31640,,,,,,,,64703.0,47505.0
14487.0,18536,2892.0,31648,,,,,,,,64700.0,47502.0
14487.0,18512,2895.0,31656,,,,,,,,64702.0,47502.0
14486.0,18496,2894.0,31632,,,,,,,,64699.0,47502.0
14483.0,18440,2895.0,31648,,,,,,,,64701.0,47504.0
14482.0,18448,2895.0,31640,,,,,,,,64703.0,47501.0
14493.0,18448,2894.0,31624,,,,,,,,64703.0,47503.0
14484.0,18424,2894.0,31640,,,,,,,,64700.0,47503.0
14471.0,18408,2894.0,31600,,,,,,,,64701.0,47504.0
14457.0,18360,2895.0,31600,,,,,,,,64701.0,47503.0
14469.0,18376,2894.0,31592,,,,,,,,64703.0,47503.0
14458.0,18384,2897.0,31584,,,,,,,,64701.0,47504.0
14479.0,18344,2895.0,31600,,,,,,,,64701.0,47504.0
14485.0,18288,2895.0,31576,,,,,,,,64701.0,47505.0
14490.0,18288,2894.0,31560,,,,,,,,64704.0,47502.0
14489.0,18272,2897.0,31576,,,,,,,,64700.0,47502.0
14487.0,18216,2895.0,31560,,,,,,,,64703.0,47502.0
14492.0,18232,2897.0,31536,,,,,,,,64702.0,47501.0
14485.0,18232,2897.0,31528,,,,,,,,64701.0,47501.0
14484.0,18168,2895.0,31568,,,,,,,,64699.0,47502.0
14492.0,18176,2895.0,31536,,,,,,,,64700.0,47501.0
14483.0,18168,2895.0,31528,,,,,,,,64701.0,47503.0
14432.0,18160,2894.0,31536,,,,,,,,64701.0,47501.0
14470.0,18184,2895.0,31544,,,,,,,,64698.0,47502.0
14458.0,18248,2891.0,31584,,,,,,,,64699.0,47502.0
14458.0,18376,2895.0,31632,,,,,,,,64703.0,47501.0
14472.0,18504,2897.0,31656,,,,,,,,64698.0,47501.0
14456.0,18616,2895.0,31712,,,,,,,,64698.0,47500.0
14451.0,18808,2897.0,31760,,,,,,,,64698.0,47500.0
14459.0,18960,2894.0,31800,,,,,,,,64701.0,47500.0
14446.0,19112,2894.0,31832,,,,,,,,64700.0,47499.0
14479.0,19216,2895.0,31880,,,,,,,,64698.0,47500.0
14470.0,19304,2894.0,31888,,,,,,,,64702.0,47500.0
14481.0,19360,2895.0,31896,,,,,,,,64705.0,47501.0
14492.0,19416,2895.0,31928,,,,,,,,64701.0,47500.0
14490.0,19432,2895.0,31936,,,,,,,,64698.0,47499.0
14484.0,19448,2895.0,31960,,,,,,,,64700.0,47501.0
14503.0,19432,2895.0,31936,,,,,,,,64702.0,47501.0
14507.0,19424,2898.0,31928,,,,,,,,64703.0,47499.0
14512.0,19432,2897.0,31928,,,,,,,,64699.0,47499.0
14517.0,19424,2895.0,31952,,,,,,,,64699.0,47500.0
14515.0,19368,2895.0,31928,,,,,,,,64701.0,47500.0
14490.0,19384,2897.0,31944,,,,,,,,64704.0,47501.0
14477.0,19368,2897.0,31920,,,,,,,,64699.0,47499.0
14484.0,19352,2898.0,31936,,,,,,,,64701.0,47499.0
14475.0,19304,2897.0,31936,,,,,,,,64703.0,47500.0
14488.0,19264,2898.0,31888,,,,,,,,64702.0,47499.0
14477.0,19248,2895.0,31912,,,,,,,,64698.0,47499.0
14479.0,19248,2894.0,31904,,,,,,,,64701.0,47500.0
14481.0,19168,2895.0,31840,,,,,,,,64701.0,47501.0
14473.0,19128,2895.0,31912,,,,,,,,64702.0,47499.0
14496.0,19168,2898.0,31880,,,,,,,,64698.0,47500.0
14505.0,19128,2895.0,31864,,,,,,,,64700.0,47499.0
14511.0,19152,2894.0,31856,,,,,,,,64702.0,47500.0
14520.0,19112,2895.0,31856,,,,,,,,64704.0,47500.0
14522.0,19104,2897.0,31872,,,,,,,,64699.0,47501.0
14514.0,19096,2898.0,31872,,,,,,,,64702.0,47499.0
14514.0,19104,2898.0,31872,,,,,,,,64703.0,47500.0
14521.0,19144,2897.0,31864,,,,,,,,64703.0,47500.0
14502.0,19152,2892.0,31856,,,,,,,,64701.0,47499.0
14509.0,19144,2897.0,31880,,,,,,,,64702.0,47499.0
14512.0,19128,2897.0,31880,,,,,,,,64703.0,47498.0
14508.0,19112,2897.0,31880,,,,,,,,64702.0,47499.0
14481.0,19128,2898.0,31856,,,,,,,,64699.0,47499.0
14480.0,19112,2895.0,31856,,,,,,,,64702.0,47499.0
14481.0,19104,2898.0,31872,,,,,,,,64702.0,47497.0
14481.0,19088,2895.0,31872,,,,,,,,64701.0,47499.0
14475.0,19072,2898.0,31856,,,,,,,,64701.0,47499.0
14466.0,19016,2895.0,31856,,,,,,,,64703.0,47498.0
14467.0,19000,2895.0,31848,,,,,,,,64699.0,47498.0
14467.0,18984,2897.0,31824,,,,,,,,64703.0,47498.0
14485.0,18952,2897.0,31816,,,,,,,,64701.0,47498.0
14496.0,18960,2898.0,31864,,,,,,,,64701.0,47499.0
14486.0,18904,2895.0,31800,,,,,,,,64701.0,47498.0
14498.0,18912,2898.0,31800,,,,,,,,64705.0,47499.0
14495.0,18872,2898.0,31784,,,,,,,,64703.0,47498.0
14495.0,18856,2897.0,31776,,,,,,,,64704.0,47498.0
14495.0,18800,2897.0,31744,,,,,,,,64701.0,47497.0
14495.0,18792,2899.0,31768,,,,,,,,64704.0,47497.0
14495.0,18760,2897.0,31776,,,,,,,,64702.0,47500.0
14496.0,18752,2898.0,31744,,,,,,,,64703.0,47498.0
14503.0,18720,2897.0,31736,,,,,,,,64700.0,47496.0
14504.0,18712,2899.0,31744,,,,,,,,64704.0,47496.0
14486.0,18672,2897.0,31752,,,,,,,,64701.0,47496.0
14465.0,18680,2898.0,31728,,,,,,,,64707.0,47498.0
14460.0,18680,2897.0,31752,,,,,,,,64701.0,47495.0
14482.0,18616,2897.0,31728,,,,,,,,64706.0,47496.0
14465.0,18624,2898.0,31712,,,,,,,,64701.0,47496.0
14466.0,18584,2899.0,31704,,,,,,,,64701.0,47497.0
14461.0,18552,2897.0,31704,,,,,,,,64701.0,47495.0
14460.0,18536,2898.0,31696,,,,,,,,64702.0,47495.0
14463.0,18552,2899.0,31704,,,,,,,,64699.0,47494.0
14459.0,18520,2898.0,31704,,,,,,,,64703.0,47495.0
14462.0,18504,2897.0,31680,,,,,,,,64700.0,47495.0
14465.0,18488,2899.0,31688,,,,,,,,64707.0,47496.0
14467.0,18488,2898.0,31696,,,,,,,,64704.0,47497.0
14459.0,18464,2898.0,31672,,,,,,,,64704.0,47496.0
14460.0,18472,2895.0,31680,,,,,,,,64702.0,47495.0
14490.0,18456,2897.0,31704,,,,,,,,64707.0,47495.0
14498.0,18424,2897.0,31688,,,,,,,,64704.0,47497.0
14494.0,18416,2897.0,31664,,,,,,,,64706.0,47498.0
14495.0,18368,2899.0,31656,,,,,,,,64706.0,47496.0
14491.0,18368,2897.0,31656,,,,,,,,64707.0,47495.0
14491.0,18336,2898.0,31648,,,,,,,,64702.0,47497.0
14487.0,18320,2897.0,31608,,,,,,,,64707.0,47496.0
14496.0,18320,2898.0,31624,,,,,,,,64705.0,47495.0
14480.0,18288,2898.0,31640,,,,,,,,64709.0,47495.0
14468.0,18264,2897.0,31632,,,,,,,,64704.0,47496.0
14468.0,18288,2897.0,31616,,,,,,,,64706.0,47496.0
14467.0,18248,2897.0,31608,,,,,,,,64704.0,47495.0
14477.0,18224,2897.0,31624,,,,,,,,64706.0,47496.0
14477.0,18200,2897.0,31616,,,,,,,,64705.0,47495.0
14503.0,18176,2894.0,31600,,,,,,,,64705.0,47495.0
14502.0,18144,2897.0,31576,,,,,,,,64704.0,47495.0
14460.0,18160,2898.0,31560,,,,,,,,64707.0,47494.0
14474.0,18144,2897.0,31584,,,,,,,,64706.0,47493.0
14469.0,18120,2897.0,31576,,,,,,,,64704.0,47494.0
14470.0,18120,2895.0,31552,,,,,,,,64704.0,47493.0
14469.0,18064,2899.0,31536,,,,,,,,64708.0,47492.0
14468.0,18040,2898.0,31544,,,,,,,,64705.0,47492.0
14471.0,18040,2898.0,31544,,,,,,,,64706.0,47492.0
14503.0,18008,2897.0,31544,,,,,,,,64704.0,47491.0
14496.0,18016,2895.0,31552,,,,,,,,64708.0,47491.0
14496.0,18016,2898.0,31544,,,,,,,,64706.0,47491.0
14475.0,18016,2897.0,31528,,,,,,,,64707.0,47492.0
14497.0,18104,2895.0,31576,,,,,,,,64707.0,47491.0
14493.0,18192,2895.0,31560,,,,,,,,64709.0,47491.0
14483.0,18296,2898.0,31624,,,,,,,,64705.0,47491.0
14477.0,18440,2895.0,31672,,,,,,,,64708.0,47491.0
14472.0,18616,2894.0,31728,,,,,,,,64711.0,47491.0
14471.0,18792,2897.0,31808,,,,,,,,64710.0,47488.0
14478.0,18936,2895.0,31848,,,,,,,,64707.0,47489.0
14504.0,19064,2895.0,31888,,,,,,,,64710.0,47489.0
14498.0,19208,2898.0,31912,,,,,,,,64708.0,47489.0
14494.0,19280,2895.0,31952,,,,,,,,64710.0,47489.0
14461.0,19344,2897.0,31992,,,,,,,,64708.0,47489.0
14475.0,19368,2897.0,31984,,,,,,,,64709.0,47491.0
14482.0,19408,2897.0,31984,,,,,,,,64707.0,47489.0
14487.0,19408,2898.0,31984,,,,,,,,64711.0,47489.0
14481.0,19424,2895.0,32008,,,,,,,,64712.0,47488.0
14484.0,19416,2895.0,32000,,,,,,,,64712.0,47489.0
14503.0,19440,2897.0,31984,,,,,,,,64712.0,47488.0
14509.0,19384,2897.0,32016,,,,,,,,64712.0,47488.0
