PData,SData,TData,BData,EData,PCData,SCData,TCData,BCData,WData,WCData,YData,YCData
24796,9088,2909.0,720,,,,,,,,1.0,0.0
24796,9096,2909.0,728,,,,,,,,2.0,1.0
24798,9096,2908.0,704,,,,,,,,1.0,0.0
24791,9096,2909.0,712,,,,,,,,2.0,2.0
24788,9096,2908.0,728,,,,,,,,1.0,65535.0
24777,9104,2909.0,720,,,,,,,,2.0,2.0
24726,9112,2911.0,720,,,,,,,,1.0,0.0
24732,9104,2911.0,728,,,,,,,,2.0,2.0
24722,9112,2908.0,728,,,,,,,,0.0,0.0
24731,9072,2911.0,720,,,,,,,,2.0,1.0
24759,9104,2909.0,720,,,,,,,,1.0,65535.0
24766,9104,2911.0,744,,,,,,,,2.0,2.0
24771,9104,2909.0,736,,,,,,,,0.0,65535.0
24766,9104,2908.0,744,,,,,,,,2.0,1.0
24845,9096,2909.0,720,,,,,,,,1.0,0.0
24859,9096,2909.0,744,,,,,,,,2.0,1.0
24874,9120,2911.0,720,,,,,,,,1.0,0.0
24848,9096,2908.0,720,,,,,,,,2.0,2.0
24887,9096,2911.0,728,,,,,,,,1.0,0.0
24900,9096,2909.0,728,,,,,,,,2.0,2.0
24905,9096,2912.0,728,,,,,,,,1.0,0.0
24904,9064,2911.0,736,,,,,,,,2.0,2.0
24900,9088,2909.0,736,,,,,,,,0.0,0.0
24896,9104,2909.0,728,,,,,,,,2.0,2.0
24896,9096,2912.0,728,,,,,,,,1.0,0.0
24892,9096,2911.0,728,,,,,,,,2.0,2.0
24833,9088,2909.0,728,,,,,,,,1.0,0.0
24832,9072,2909.0,704,,,,,,,,2.0,1.0
24807,9112,2909.0,712,,,,,,,,1.0,0.0
24816,9080,2908.0,736,,,,,,,,2.0,1.0
24822,9080,2909.0,712,,,,,,,,1.0,0.0
24820,9112,2911.0,712,,,,,,,,2.0,1.0
24802,9088,2911.0,736,,,,,,,,0.0,0.0
24789,9096,2911.0,720,,,,,,,,2.0,2.0
24845,9080,2911.0,720,,,,,,,,1.0,0.0
24846,9104,2909.0,736,,,,,,,,2.0,2.0
24832,9088,2911.0,728,,,,,,,,0.0,0.0
24832,9088,2908.0,720,,,,,,,,2.0,2.0
24803,9088,2911.0,720,,,,,,,,1.0,65535.0
24802,9096,2911.0,712,,,,,,,,2.0,2.0
24802,9096,2911.0,736,,,,,,,,1.0,0.0
24798,9112,2908.0,720,,,,,,,,2.0,1.0
24799,9088,2911.0,736,,,,,,,,1.0,0.0
24798,9088,2911.0,712,,,,,,,,2.0,1.0
24795,9080,2909.0,720,,,,,,,,1.0,0.0
24795,9112,2908.0,720,,,,,,,,2.0,2.0
24743,9088,2911.0,712,,,,,,,,1.0,0.0
24738,9088,2912.0,728,,,,,,,,2.0,1.0
24742,9112,2908.0,728,,,,,,,,1.0,0.0
24734,9072,2909.0,744,,,,,,,,2.0,1.0
24739,9120,2909.0,728,,,,,,,,1.0,65535.0
24740,9104,2911.0,720,,,,,,,,2.0,1.0
24727,9120,2909.0,728,,,,,,,,1.0,0.0
24754,9088,2909.0,736,,,,,,,,2.0,2.0
24777,9096,2914.0,712,,,,,,,,1.0,0.0
24772,9088,2909.0,712,,,,,,,,2.0,1.0
24768,9104,2912.0,728,,,,,,,,1.0,65535.0
24763,9088,2909.0,736,,,,,,,,2.0,1.0
24726,9128,2909.0,736,,,,,,,,1.0,0.0
24748,9096,2909.0,720,,,,,,,,2.0,2.0
24748,9104,2911.0,728,,,,,,,,0.0,0.0
24749,9096,2911.0,720,,,,,,,,2.0,2.0
24745,9088,2911.0,728,,,,,,,,0.0,0.0
24742,9096,2911.0,712,,,,,,,,1.0,2.0
24727,9096,2908.0,728,,,,,,,,0.0,0.0
24728,9096,2911.0,720,,,,,,,,2.0,1.0
24684,9088,2911.0,744,,,,,,,,1.0,0.0
24674,9104,2909.0,712,,,,,,,,2.0,1.0
24672,9088,2911.0,720,,,,,,,,1.0,0.0
24661,9120,2912.0,728,,,,,,,,3.0,2.0
24661,9104,2912.0,728,,,,,,,,0.0,0.0
24659,9080,2909.0,728,,,,,,,,1.0,2.0
24658,9096,2911.0,712,,,,,,,,1.0,0.0
24674,9112,2909.0,744,,,,,,,,2.0,1.0
24696,9104,2911.0,728,,,,,,,,0.0,0.0
24697,9104,2911.0,720,,,,,,,,2.0,1.0
24696,9072,2911.0,728,,,,,,,,1.0,0.0
24697,9104,2912.0,720,,,,,,,,2.0,2.0
24693,9112,2909.0,736,,,,,,,,1.0,0.0
24663,9112,2911.0,736,,,,,,,,2.0,1.0
24688,9104,2911.0,736,,,,,,,,1.0,0.0
24689,9104,2911.0,728,,,,,,,,2.0,2.0
24690,9104,2909.0,736,,,,,,,,0.0,0.0
24692,9096,2909.0,728,,,,,,,,2.0,1.0
24682,9112,2909.0,712,,,,,,,,0.0,0.0
24678,9104,2912.0,736,,,,,,,,2.0,2.0
24630,9104,2909.0,712,,,,,,,,0.0,65535.0
24621,9096,2911.0,728,,,,,,,,2.0,2.0
24613,9112,2908.0,728,,,,,,,,1.0,0.0
24604,9080,2911.0,720,,,,,,,,2.0,1.0
24616,9104,2911.0,736,,,,,,,,0.0,0.0
24604,9088,2909.0,720,,,,,,,,2.0,2.0
24598,9096,2908.0,728,,,,,,,,1.0,65535.0
24606,9096,2911.0,728,,,,,,,,2.0,2.0
24649,9088,2908.0,712,,,,,,,,1.0,0.0
24631,9112,2911.0,744,,,,,,,,2.0,1.0
24649,9080,2908.0,712,,,,,,,,1.0,0.0
24650,9096,2911.0,752,,,,,,,,2.0,2.0
24658,9120,2908.0,720,,,,,,,,1.0,0.0
24628,9088,2911.0,728,,,,,,,,2.0,1.0
24646,9104,2911.0,736,,,,,,,,1.0,0.0
24640,9096,2912.0,728,,,,,,,,2.0,1.0
24639,9096,2909.0,728,,,,,,,,1.0,0.0
24640,9096,2909.0,720,,,,,,,,2.0,2.0
24625,9096,2909.0,720,,,,,,,,1.0,0.0
24622,9104,2909.0,720,,,,,,,,2.0,2.0
24584,9088,2911.0,728,,,,,,,,1.0,0.0
24584,9080,2911.0,720,,,,,,,,2.0,1.0
24565,9120,2909.0,728,,,,,,,,1.0,0.0
24567,9088,2911.0,712,,,,,,,,2.0,1.0
24576,9096,2911.0,720,,,,,,,,1.0,0.0
24581,9088,2911.0,720,,,,,,,,2.0,1.0
24581,9104,2912.0,720,,,,,,,,1.0,65535.0
24566,9088,2909.0,728,,,,,,,,2.0,2.0
